Measurement Name :,run_5_light_7_12_23-1173,,Generated On :,"12/07/2023, 15:04:21",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0009001173      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 050
Ref LED current   : 050
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 14:58:42,13.05,297.94,310.46,264.22,391.82,208.66,252.74,313.83,220.7,237.54,211.28,150.52,156.47,103.99,310.04,47.76,246.86,171.72,183.25,250.78,299.6,203.07,257.08,299.19,301.26,,23,969,35,24.51,969D6-(E1);
12.07.23 14:58:57,13.3,329.57,352.19,290.11,368.64,222.6,241.02,300.43,246.08,232.53,201.96,165.66,171.36,115.3,311.3,94.14,249.6,185.43,163.53,293.4,263.03,216.54,260.64,273.84,325.72,,23,969,35,24.52,969D6-(E1);
12.07.23 14:59:12,13.55,282.75,318.05,287.65,351.75,175.31,243.35,269.02,194.21,194.21,173.87,138.38,176.03,124.73,289.7,96.1,290.11,168.51,159.29,302.51,265.42,189.08,249.21,308.36,313.4,,23,969,35,24.52,969D6-(E1);
12.07.23 14:59:27,13.8,316.36,323.15,275.86,358.82,196.04,282.34,271.42,219.94,203.44,187.25,133.58,186.89,121.35,328.71,65.25,298.36,182.16,142.52,314.67,278.69,231.38,265.82,296.29,309.62,,23,969,35,24.52,969D6-(E1);
12.07.23 14:59:42,14.05,289.7,336.47,277.07,395.51,203.81,258.26,267.82,209.78,229.46,229.46,142.52,165.3,135.29,302.51,105.98,286.42,218.81,183.98,312.56,286.83,190.9,285.6,301.68,303.76,,23,969,35,24.52,969D6-(E1);
12.07.23 14:59:57,14.3,304.6,323.58,307.52,373.58,177.11,231.38,288.88,210.15,233.3,197.89,147.38,176.75,106.97,307.1,66.51,229.46,197.15,131.87,290.11,244.13,197.89,260.64,302.93,293.81,,23,969,35,24.51,969D6-(E1);
12.07.23 15:00:12,14.55,309.62,320.6,259.45,374.94,201.59,245.69,275.86,237.54,236.38,207.16,151.56,166.02,118.32,293.81,71.59,251.56,175.67,142.87,295.46,283.56,201.21,275.45,277.88,323.15,,23,969,35,24.51,969D6-(E1);
12.07.23 15:00:27,14.8,237.15,325.29,257.87,322.3,177.11,246.47,235.99,187.98,181.8,167.08,154.36,134.61,124.73,267.82,48.38,209.78,164.95,134.61,287.65,269.02,189.08,247.64,255.1,236.76,,23,969,35,24.51,969D6-(E1);
12.07.23 15:00:42,15.05,262.63,325.29,244.91,363.27,163.53,249.21,244.13,213.53,214.28,174.59,133.58,144.6,57.09,241.8,44.06,229.08,164.24,107.3,283.16,251.56,190.54,247.25,246.47,282.34,,23,969,35,24.52,969D6-(E1);
12.07.23 15:00:57,15.3,311.72,299.19,263.82,337.34,177.11,279.09,298.77,216.92,202.7,196.04,141.14,158.93,102.01,241.41,77.33,275.05,166.37,154.01,279.09,237.54,230.61,251.56,318.05,300.43,,23,969,35,24.52,969D6-(E1);
12.07.23 15:01:12,15.55,282.75,291.75,237.54,352.19,193.84,282.34,313.83,213.53,242.57,200.84,112.63,148.42,116.64,267.02,40.99,195.31,176.75,165.3,283.56,277.88,224.5,242.96,270.22,275.45,,23,969,35,24.51,969D6-(E1);
12.07.23 15:01:27,15.8,314.67,306.27,262.63,356.16,144.6,246.86,283.16,224.88,214.28,172.8,144.6,166.37,97.74,297.94,49.62,220.7,159.99,152.26,293.81,260.24,187.62,245.69,325.72,295.46,,23,969,35,24.51,969D6-(E1);
12.07.23 15:01:42,16.05,268.22,277.47,228.69,337.77,198.26,236.38,278.69,188.35,217.29,160.7,130.51,157.17,108.96,273.84,45.6,235.61,160.7,158.93,289.29,277.88,200.1,224.12,260.64,271.02,,23,969,35,24.49,969D6-(E1);
12.07.23 15:01:57,16.3,269.42,314.67,261.44,384.02,166.02,248.42,265.82,229.84,244.52,173.87,122.36,157.88,117.65,293.81,88.61,221.84,167.08,151.91,287.65,246.86,171.01,250.38,285.2,306.27,,23,969,35,24.51,969D6-(E1);
12.07.23 15:02:12,16.55,273.03,363.27,268.22,401.07,204.56,264.62,304.18,219.18,242.19,200.84,145.99,184.7,111.96,312.98,78.93,265.42,205.3,163.88,269.02,285.2,212.03,251.95,281.94,302.93,,23,969,35,24.51,969D6-(E1);
12.07.23 15:02:27,16.8,275.86,284.79,278.69,351.75,163.53,285.6,213.53,221.84,215.41,219.18,134.95,162.47,102.67,280.72,81.5,253.53,166.37,163.88,304.6,253.53,178.91,211.28,305.01,265.42,,23,969,35,24.49,969D6-(E1);
12.07.23 15:02:42,17.05,264.22,327.43,272.63,379.47,177.83,248.82,263.82,198.63,183.25,191.64,146.34,132.9,94.47,303.76,72.54,278.69,178.55,156.82,317.63,268.62,202.33,233.68,263.03,288.88,,23,969,35,24.51,969D6-(E1);
12.07.23 15:02:57,17.3,237.15,273.44,248.03,379.47,174.95,263.82,205.3,204.93,189.44,196.04,145.3,139.07,86.34,259.06,86.99,253.53,186.89,142.18,241.02,249.21,211.28,229.08,258.26,250.78,,23,969,35,24.49,969D6-(E1);
12.07.23 15:03:12,17.55,265.42,313.4,278.28,331.72,134.95,277.47,299.19,194.57,193.47,195.31,96.76,152.26,133.58,266.62,77.01,236.38,171.36,130.17,258.66,249.6,177.83,252.74,262.63,269.42,,23,969,35,24.48,969D6-(E1);
12.07.23 15:03:27,17.8,259.45,318.48,237.15,336.9,182.16,231.38,262.23,204.56,198.26,209.03,133.58,154.71,99.05,281.12,45.6,241.8,185.07,120.68,256.68,256.68,177.83,236.76,273.03,303.34,,23,969,35,24.48,969D6-(E1);
12.07.23 15:03:42,18.05,204.93,275.86,202.33,314.67,144.26,233.68,236.38,175.67,144.6,153.31,94.79,139.42,92.51,270.62,15.04,210.15,166.73,118.32,253.53,232.91,143.91,226.4,253.92,275.86,,23,969,35,24.48,969D6-(E1);
