Measurement Name :,run_3_light_7_12_23-1173,,Generated On :,"12/07/2023, 13:35:30",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0009001173      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 050
Ref LED current   : 050
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 13:12:43",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 13:34:43",,,,,,O2_cal0 [°],56.14,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-1173,,,,,,O2_T0 [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 13:23:00,10.28,289.29,309.2,243.74,329.57,172.44,312.98,283.16,201.96,317.63,197.15,164.95,179.63,168.86,249.6,124.39,263.82,178.19,203.81,283.16,288.88,194.21,240.63,264.62,318.05,,23,969,35,25.98,969D6-(E1);
12.07.23 13:23:15,10.53,285.6,278.28,258.66,302.09,218.81,269.02,262.23,244.52,269.82,222.98,162.11,216.16,170.29,248.42,142.18,283.56,190.17,216.16,290.52,298.77,199.36,226.78,292.57,257.47,,23,969,35,25.97,969D6-(E1);
12.07.23 13:23:30,10.78,311.3,311.3,297.53,363.71,197.89,250.78,293.4,274.24,273.03,218.81,187.25,200.84,173.15,297.94,152.26,259.45,189.44,209.4,301.68,272.63,249.21,240.63,345.6,274.24,,23,969,35,25.95,969D6-(E1);
12.07.23 13:23:45,11.03,268.22,291.34,269.42,311.72,216.16,256.68,285.6,243.74,234.84,227.93,149.47,158.93,161.05,300.02,116.31,295.05,210.53,204.56,274.64,277.47,235.99,253.53,296.7,251.95,,23,969,35,25.93,969D6-(E1);
