Measurement Name :,run_3_light_7_12_23-583,,Generated On :,"12/07/2023, 13:35:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"12/07/2023, 13:12:43",,,,,,Batch No.:  ,SP-PSt5-2102-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"12/07/2023, 13:34:43",,,,,,O2_cal0 [°],56.14,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],50.69,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-583,,,,,,O2_T0 [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],9.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
12.07.23 13:23:00,10.28,259.45,236.38,189.08,165.3,142.87,291.75,201.59,249.21,307.52,214.28,228.31,77.33,206.04,198.63,134.61,215.41,150.52,19.51,218.81,268.62,170.29,212.03,85.37,263.42,,23,969,35,24.62,969D6-(E1);
12.07.23 13:23:15,10.53,340.37,258.26,292.16,200.47,241.41,300.43,322.3,268.62,402.93,241.41,308.78,119.67,284.38,275.86,203.44,254.31,299.6,75.73,275.86,307.52,275.45,273.84,229.08,331.72,,23,969,35,24.62,969D6-(E1);
12.07.23 13:23:30,10.78,192.74,253.53,174.95,172.08,170.65,179.99,258.66,234.45,209.78,274.64,227.16,68.1,212.03,234.07,156.82,242.96,231.76,9.7,221.08,234.45,120,234.07,167.08,263.42,,23,969,35,24.62,969D6-(E1);
12.07.23 13:23:45,11.03,288.88,308.36,213.15,198.63,206.04,301.68,278.28,271.83,298.77,297.11,264.22,115.64,206.04,258.66,177.83,275.86,272.63,69.68,285.2,272.23,234.07,219.94,195.68,277.88,,23,969,35,24.61,969D6-(E1);
