Measurement Name :,run_5_dark_7_12_23-1173,,Generated On :,"12/07/2023, 15:26:30",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0009001173      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 050
Ref LED current   : 050
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 15:17:08,12.05,263.03,314.67,254.31,358.82,166.37,235.61,261.83,215.03,199.36,177.47,128.12,157.88,94.79,282.34,60.84,230.99,158.58,147.73,270.22,263.42,199.73,245.3,279.5,289.29,,23,969,35,23.61,
12.07.23 15:17:23,12.3,263.42,314.67,253.92,359.71,166.73,235.61,261.83,214.66,200.1,177.83,128.8,157.17,94.79,282.75,61.47,231.38,158.58,148.08,271.02,263.03,199.73,245.69,279.9,290.11,,23,969,35,23.61,
12.07.23 15:17:38,12.55,262.63,314.25,253.53,359.71,166.02,235.22,261.04,214.28,199,176.75,127.78,157.88,94.14,282.75,60.84,230.99,158.23,147.73,269.82,263.03,200.1,245.69,279.09,289.29,,23,969,35,23.61,
12.07.23 15:17:53,12.8,263.03,314.25,253.92,358.82,166.37,235.22,261.83,214.28,198.26,177.11,127.44,157.88,93.81,282.34,61.16,230.61,158.23,148.08,269.42,262.63,199.36,245.3,279.09,289.7,,23,969,35,23.59,
12.07.23 15:18:08,13.05,263.03,314.25,253.92,359.71,165.66,235.61,261.04,214.66,198.63,177.11,127.44,157.53,93.81,282.75,61.16,230.61,158.58,147.38,269.82,262.63,200.1,245.69,278.69,289.29,,23,969,35,23.58,
12.07.23 15:18:23,13.3,262.63,313.4,253.13,359.71,165.66,235.22,261.44,213.53,197.89,177.11,127.1,157.17,93.49,282.34,60.53,230.61,157.88,147.38,269.82,263.03,199.73,245.3,278.28,289.29,,23,969,35,23.59,
12.07.23 15:18:38,13.55,263.03,313.4,254.31,359.71,166.02,235.22,261.44,213.9,199,177.11,127.1,157.88,93.81,281.94,61.16,230.99,157.53,148.08,269.42,263.03,200.1,245.3,279.9,289.7,,23,969,35,23.58,
12.07.23 15:18:53,13.8,262.23,312.98,253.13,358.82,165.3,234.45,260.64,212.78,197.89,176.75,127.1,156.47,93.49,281.53,60.53,229.46,157.53,147.73,269.82,262.23,199.73,245.3,278.28,289.7,,23,969,35,23.58,
12.07.23 15:19:08,14.05,262.63,313.4,253.92,359.26,165.66,235.22,261.04,213.15,198.26,177.11,127.44,157.53,93.16,281.94,61.47,230.22,157.53,147.73,269.42,262.63,200.1,246.08,278.69,289.7,,23,969,35,23.58,
12.07.23 15:19:23,14.3,262.23,312.98,253.13,358.82,164.59,234.45,260.24,212.4,196.78,176.39,126.76,156.47,92.51,280.31,60.53,229.08,156.82,147.03,269.02,262.23,199,245.3,278.69,288.47,,23,969,35,23.58,
12.07.23 15:19:38,14.55,262.23,313.4,252.74,359.26,164.95,234.84,260.64,212.03,198.26,176.03,126.09,157.88,92.83,281.12,59.9,229.84,157.17,147.38,269.02,262.23,199.36,245.69,278.69,289.29,,23,969,35,23.56,
12.07.23 15:19:53,14.8,261.83,313.83,252.74,358.37,164.95,234.07,259.45,212.78,198.26,176.75,126.76,157.17,92.51,281.12,60.22,229.08,156.47,147.03,268.62,261.44,199.73,244.52,278.28,289.29,,23,969,35,23.58,
12.07.23 15:20:08,15.05,261.83,312.56,252.74,358.37,164.24,234.84,260.64,212.4,197.89,176.39,126.43,157.88,92.51,280.72,59.9,229.08,156.47,147.03,268.22,261.83,199.73,245.3,278.28,288.88,,23,969,35,23.56,
12.07.23 15:20:23,15.3,262.23,312.56,252.35,358.82,164.59,234.84,260.24,212.78,197.52,176.75,126.43,157.17,92.18,281.12,60.53,228.69,156.82,147.03,269.82,261.04,199.73,244.91,278.28,288.88,,23,969,35,23.56,
12.07.23 15:20:38,15.55,262.23,312.56,252.35,358.37,164.24,234.07,259.45,212.03,197.15,176.39,126.09,157.17,91.53,281.12,59.9,228.69,156.82,147.03,269.02,261.83,199.73,244.91,278.69,288.88,,23,969,35,23.56,
12.07.23 15:20:53,15.8,261.44,311.72,251.95,357.49,164.24,233.3,259.85,212.03,197.15,175.67,126.09,157.17,91.21,280.72,59.9,228.31,156.12,147.38,268.22,261.04,199.73,244.52,277.88,288.88,,23,969,35,23.56,
12.07.23 15:21:08,16.05,261.44,312.56,252.35,357.93,164.24,234.84,260.64,212.03,197.52,176.03,126.43,157.17,91.53,281.53,59.9,228.31,156.47,147.03,269.02,261.83,199.73,245.3,278.28,288.88,,23,969,35,23.54,
12.07.23 15:21:23,16.3,261.04,312.14,251.56,357.49,163.88,234.07,259.45,211.28,196.41,175.31,125.41,156.47,90.55,280.31,59.59,228.31,155.42,146.68,268.22,261.04,199,244.91,278.69,287.65,,23,969,35,23.56,
12.07.23 15:21:38,16.55,261.04,312.14,251.17,357.49,164.59,234.07,259.85,212.03,196.41,176.03,125.41,157.17,90.88,281.12,59.59,228.69,155.77,146.68,269.02,261.04,199.73,244.91,277.88,288.47,,23,969,35,23.56,
12.07.23 15:21:53,16.8,261.83,312.14,250.78,357.93,163.53,233.3,259.45,211.65,196.41,175.67,125.07,157.17,90.23,279.9,59.9,228.31,155.77,147.03,268.62,260.24,199.73,244.52,278.28,288.47,,23,969,35,23.56,
12.07.23 15:22:08,17.05,261.04,311.3,250.38,357.04,164.24,233.68,259.06,211.28,196.78,175.67,125.07,156.82,90.55,280.31,59.28,228.31,155.07,147.38,267.42,260.64,199.73,244.91,277.47,288.06,,23,969,35,23.54,
12.07.23 15:22:23,17.3,261.44,311.3,251.17,357.49,164.24,233.3,259.85,210.9,196.41,175.67,125.41,156.82,90.23,280.31,59.28,227.16,155.42,146.68,268.62,260.24,200.47,244.13,277.88,288.06,,23,969,35,23.54,
12.07.23 15:22:38,17.55,261.44,310.88,250.78,357.04,163.53,232.91,260.24,211.28,196.41,176.39,125.07,156.47,89.58,279.9,58.65,227.55,155.42,147.03,268.22,260.64,199.73,244.91,277.88,288.47,,23,969,35,23.54,
12.07.23 15:22:53,17.8,261.04,311.72,249.99,357.49,163.53,233.68,259.45,210.53,195.68,175.67,125.41,156.47,89.9,280.72,59.59,227.55,155.42,146.68,267.42,261.04,200.1,245.3,278.28,288.88,,23,969,35,23.54,
12.07.23 15:23:08,18.05,261.04,311.3,250.78,357.04,163.53,233.68,259.45,211.28,196.41,175.67,125.41,157.17,88.93,280.31,59.59,228.31,155.42,146.68,268.22,261.83,200.47,245.3,277.88,288.88,,23,969,35,23.54,
12.07.23 15:23:23,18.3,260.64,310.88,250.38,357.04,163.53,233.3,258.26,211.28,196.04,175.67,124.39,157.17,89.58,279.9,58.65,228.31,154.71,146.68,268.22,260.24,200.47,245.3,277.88,288.88,,23,969,35,23.54,
12.07.23 15:23:38,18.55,260.64,310.88,249.6,356.6,163.53,234.07,258.66,210.53,195.68,175.67,124.39,156.12,89.26,279.9,58.34,228.31,154.01,146.68,267.02,261.04,199.73,244.13,277.07,288.47,,23,969,35,23.54,
12.07.23 15:23:53,18.8,260.64,310.88,249.99,357.49,163.18,233.3,259.06,210.9,195.68,175.67,124.39,156.47,88.93,279.5,58.65,227.55,154.36,146.34,268.22,261.44,200.1,244.52,277.07,288.47,,23,969,35,23.54,
12.07.23 15:24:08,19.05,260.64,311.3,249.6,356.16,163.53,232.53,259.06,209.78,194.94,175.67,124.05,156.82,88.93,279.09,58.96,227.16,153.66,145.99,267.42,260.64,199.36,244.52,276.66,287.65,,23,969,35,23.54,
12.07.23 15:24:23,19.3,260.24,310.46,249.21,356.16,162.82,232.91,258.66,209.78,195.68,175.31,123.38,156.82,88.61,279.9,58.65,226.78,153.66,145.99,267.42,260.24,199.73,244.13,276.66,288.06,,23,969,35,23.56,
12.07.23 15:24:38,19.55,260.64,310.46,249.21,355.72,162.82,232.53,258.66,210.53,194.94,175.67,124.05,156.82,88.28,279.5,58.02,227.16,153.31,145.99,267.02,260.24,199.73,244.13,278.28,288.06,,23,969,35,23.54,
12.07.23 15:24:53,19.8,259.85,310.46,248.42,355.28,162.47,232.14,259.06,209.4,194.21,174.95,123.38,156.47,88.28,278.69,58.02,227.16,152.61,145.99,266.62,260.64,199.36,244.13,277.47,287.24,,23,969,35,23.56,
12.07.23 15:25:08,20.05,260.24,310.46,248.82,354.83,161.76,232.53,258.66,208.66,194.57,175.67,123.72,156.47,87.63,279.09,58.34,226.78,152.26,145.64,266.62,259.85,199.73,244.13,277.47,287.24,,23,969,35,23.56,
12.07.23 15:25:23,20.3,260.64,310.04,248.42,355.72,162.47,233.3,258.26,209.78,194.57,175.31,123.38,156.47,87.96,279.5,58.34,227.16,152.61,146.34,267.02,259.85,199.36,243.74,277.07,288.47,,23,969,35,23.54,
12.07.23 15:25:38,20.55,260.24,310.46,248.42,354.39,161.76,232.91,258.26,208.66,194.57,174.95,123.04,156.12,87.31,279.09,58.02,226.78,152.61,145.64,266.62,260.24,199.73,244.13,276.66,287.65,,23,969,35,23.54,
12.07.23 15:25:53,20.8,259.85,309.62,248.42,353.95,162.11,232.53,258.66,208.66,194.57,175.31,123.04,156.82,87.63,278.69,58.02,226.78,151.91,145.99,266.62,259.45,199.73,244.13,276.26,287.65,,23,969,35,23.56,
