Measurement Name :,run_5_dark_7_12_23-583,,Generated On :,"12/07/2023, 15:26:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 15:17:08,12.05,250.38,235.61,232.91,176.75,155.07,243.74,241.02,264.22,277.47,227.93,171.36,59.28,238.31,205.3,120,228.69,235.61,14.74,261.83,273.84,194.21,242.19,137.35,260.24,,23,969,35,23.63,
12.07.23 15:17:23,12.3,249.6,234.84,231.76,177.11,154.01,244.52,240.25,262.63,277.07,226.78,171.01,59.59,239.08,204.18,119.67,227.55,235.22,15.04,259.45,273.44,193.47,241.8,135.98,260.24,,23,969,35,23.63,
12.07.23 15:17:38,12.55,249.21,235.22,231.76,176.75,153.66,244.52,239.47,263.03,277.88,226.4,169.58,58.96,238.7,204.56,118.66,229.46,235.22,15.04,260.64,274.24,194.57,241.02,135.64,260.24,,23,969,35,23.63,
12.07.23 15:17:53,12.8,248.42,234.84,231.76,176.75,154.36,242.96,239.08,263.42,277.47,226.02,169.22,58.65,238.31,203.44,118.99,229.46,234.84,14.74,260.24,273.03,193.84,241.41,136.32,261.04,,23,969,35,23.63,
12.07.23 15:18:08,13.05,249.21,234.07,231.38,176.03,154.01,245.69,238.7,263.82,277.88,226.4,169.93,58.65,238.7,204.56,119.33,228.69,235.22,15.33,261.04,273.84,193.84,241.8,136.32,260.24,,23,969,35,23.63,
12.07.23 15:18:23,13.3,248.82,235.22,230.99,175.31,154.01,245.3,238.7,263.42,277.07,225.26,169.58,58.34,238.31,203.07,119.33,228.69,234.45,14.44,261.44,272.63,194.57,241.02,136.32,259.85,,23,969,35,23.63,
12.07.23 15:18:38,13.55,248.42,234.07,232.14,176.39,153.31,244.13,238.7,263.03,277.07,225.64,169.22,58.65,237.15,202.33,119.33,228.69,235.22,14.74,262.63,273.44,193.47,240.63,135.64,260.64,,23,969,35,23.63,
12.07.23 15:18:53,13.8,248.42,232.91,231.38,175.31,152.26,242.96,239.47,262.23,275.86,225.64,168.86,58.65,237.15,201.21,118.99,227.55,234.07,15.33,261.83,273.44,193.1,240.25,135.29,260.64,,23,969,35,23.63,
12.07.23 15:19:08,14.05,248.82,233.3,230.99,175.67,152.26,243.74,240.25,263.42,275.86,224.88,168.86,58.65,237.54,200.84,118.32,229.08,234.84,15.04,261.04,273.03,194.21,241.02,134.27,260.64,,23,969,35,23.63,
12.07.23 15:19:23,14.3,248.82,234.45,230.99,174.95,152.61,243.74,239.47,263.42,275.05,225.64,167.08,58.34,237.15,200.47,118.32,229.08,234.07,15.04,260.24,273.44,193.84,241.41,134.27,260.64,,23,969,35,23.63,
12.07.23 15:19:38,14.55,249.21,233.3,230.99,175.31,151.91,242.57,238.7,263.42,275.05,224.5,167.44,57.71,237.15,201.21,118.66,228.69,234.07,14.74,260.24,273.03,193.84,241.41,134.27,261.44,,23,969,35,23.63,
12.07.23 15:19:53,14.8,249.6,232.14,230.61,174.59,150.86,243.74,238.31,263.82,274.24,224.5,166.73,58.02,237.15,199.73,117.99,228.69,234.84,15.04,260.24,271.42,193.84,241.02,133.58,261.44,,23,969,35,23.61,
12.07.23 15:20:08,15.05,249.21,232.91,230.61,174.95,150.52,243.74,239.08,262.63,274.64,224.88,167.44,58.02,237.92,200.47,118.32,227.55,234.84,15.04,259.85,273.84,194.21,241.02,133.58,261.44,,23,969,35,23.61,
12.07.23 15:20:23,15.3,249.6,232.91,230.99,174.23,149.82,243.74,238.7,261.83,274.24,224.88,167.44,58.34,236.76,200.84,117.65,227.93,234.84,15.33,261.04,273.03,193.84,241.41,133.92,261.44,,23,969,35,23.63,
12.07.23 15:20:38,15.55,247.64,231.76,230.61,173.87,150.17,243.35,238.31,263.42,274.24,223.74,167.44,57.71,236.38,200.47,117.99,227.93,234.07,15.04,260.24,273.44,194.21,241.41,133.24,261.04,,23,969,35,23.63,
12.07.23 15:20:53,15.8,248.03,231.38,230.22,173.51,150.17,241.8,238.7,263.82,273.84,222.98,165.3,57.09,236.38,199.36,117.99,228.31,233.3,14.44,261.44,273.03,193.84,240.63,132.55,261.83,,23,969,35,23.63,
12.07.23 15:21:08,16.05,248.42,230.99,229.84,173.51,149.47,242.19,237.92,264.22,275.45,223.74,164.95,57.71,236.76,199.36,117.99,227.93,233.68,15.04,260.24,272.63,194.21,241.41,132.21,262.23,,23,969,35,23.63,
12.07.23 15:21:23,16.3,248.42,230.61,229.08,173.15,149.47,241.41,239.08,263.03,275.86,222.98,164.59,57.09,236.76,198.63,117.65,227.16,234.07,15.04,259.45,273.44,194.21,239.47,131.87,261.83,,23,969,35,23.63,
12.07.23 15:21:38,16.55,248.03,229.08,230.22,173.15,149.12,242.19,239.08,262.63,275.45,223.36,165.3,57.09,236.38,198.26,117.65,227.55,234.07,15.63,260.24,273.84,194.21,239.86,131.87,262.23,,23,969,35,23.61,
12.07.23 15:21:53,16.8,247.25,229.46,229.46,173.15,148.42,243.35,239.86,262.23,273.84,223.74,164.95,57.09,237.15,198.63,117.65,227.55,233.3,15.33,259.06,274.24,194.57,239.86,131.53,262.23,,23,969,35,23.61,
12.07.23 15:22:08,17.05,247.25,229.84,229.84,172.8,149.47,241.02,240.25,262.23,273.44,222.6,164.59,57.09,236.38,196.78,117.31,227.93,232.91,15.33,259.06,274.64,193.84,239.47,131.53,261.44,,23,969,35,23.63,
12.07.23 15:22:23,17.3,247.25,229.84,228.69,173.51,148.77,240.25,239.08,261.44,273.44,222.98,164.24,56.46,236.38,197.15,117.31,226.02,232.91,15.04,259.85,274.64,194.94,239.08,131.19,262.23,,23,969,35,23.63,
12.07.23 15:22:38,17.55,247.64,230.61,229.46,173.15,149.12,241.02,239.08,261.83,272.63,222.22,164.24,56.46,237.92,195.31,117.31,226.78,231.76,15.04,259.45,273.44,194.57,239.47,130.85,261.44,,23,969,35,23.63,
12.07.23 15:22:53,17.8,247.25,229.84,229.08,172.8,148.42,240.63,241.02,261.83,272.63,222.98,164.59,56.77,237.54,197.15,117.99,227.16,232.14,15.04,259.45,277.07,194.94,240.25,131.53,261.44,,23,969,35,23.63,
12.07.23 15:23:08,18.05,246.47,229.08,229.08,172.08,148.08,239.08,240.63,261.83,271.42,222.6,163.88,56.46,236.76,196.41,117.31,226.78,232.14,15.04,259.06,276.66,193.84,239.86,130.51,261.83,,23,969,35,23.63,
12.07.23 15:23:23,18.3,247.25,228.69,228.31,171.01,148.08,239.86,240.63,262.23,271.02,222.22,163.53,55.84,237.15,196.04,117.31,227.55,232.14,15.04,258.66,275.86,194.21,239.86,130.17,261.44,,23,969,35,23.63,
12.07.23 15:23:38,18.55,247.64,228.69,228.31,171.72,147.73,239.86,241.41,262.63,271.83,222.22,162.82,55.53,236.38,196.04,117.65,227.93,231.38,15.33,259.06,275.05,194.94,239.86,130.17,261.83,,23,969,35,23.63,
12.07.23 15:23:53,18.8,247.25,229.84,229.08,172.44,148.77,240.63,242.57,263.42,271.02,222.98,163.88,56.15,237.15,195.31,117.65,228.31,232.53,15.33,261.04,275.86,194.57,239.86,130.17,262.63,,23,969,35,23.63,
12.07.23 15:24:08,19.05,247.64,227.93,228.31,170.65,147.03,240.25,241.41,262.23,271.02,222.6,163.53,56.15,236.38,194.21,116.98,227.16,231.38,15.33,258.26,273.03,195.68,239.08,129.83,262.23,,23,969,35,23.63,
12.07.23 15:24:23,19.3,247.64,227.93,228.31,172.08,147.38,240.25,241.02,261.83,271.02,222.22,163.18,55.53,236.76,193.84,117.65,227.16,230.99,15.33,258.26,275.05,195.31,239.08,130.17,261.83,,23,969,35,23.63,
12.07.23 15:24:38,19.55,247.64,227.55,227.93,170.29,147.03,239.86,241.02,261.44,271.02,222.98,161.76,54.9,237.54,194.57,116.98,225.26,230.61,15.04,259.06,275.05,194.57,238.7,129.48,261.04,,23,969,35,23.63,
12.07.23 15:24:53,19.8,246.47,227.55,228.31,169.93,146.34,239.47,241.41,260.64,270.62,221.46,162.47,54.9,236.76,193.1,117.31,226.4,231.76,15.33,259.06,275.05,194.57,238.31,129.14,262.23,,23,969,35,23.63,
12.07.23 15:25:08,20.05,246.47,226.4,227.93,170.65,146.34,239.08,240.63,261.83,270.62,221.84,162.11,55.21,236.38,193.47,116.64,225.26,231.76,15.04,259.45,275.05,195.31,238.31,129.14,262.63,,23,969,35,23.63,
12.07.23 15:25:23,20.3,244.91,226.4,227.93,169.93,145.64,239.08,241.02,261.83,269.42,221.46,161.76,54.9,237.15,193.47,116.98,227.16,231.38,15.33,259.45,275.86,194.94,237.92,128.8,262.23,,23,969,35,23.63,
12.07.23 15:25:38,20.55,246.47,226.78,228.31,169.93,144.6,239.47,240.63,260.64,270.22,221.84,161.41,54.9,235.99,193.84,117.31,225.64,230.99,15.33,258.66,274.24,194.94,237.15,128.12,261.44,,23,969,35,23.63,
12.07.23 15:25:53,20.8,244.52,225.26,227.16,169.58,144.6,239.47,241.41,260.64,269.42,221.08,159.64,54.28,236.38,193.47,116.98,225.26,230.61,15.04,259.06,275.05,194.57,237.54,128.12,261.04,,23,969,35,23.66,
